source,target,weight
012f6b98-9fad-4022-bbf9-edb9c7138a0f,016247cb-6d9f-408a-9581-ae3769016076,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,0442fb6c-8441-4292-a275-5f701a223cfc,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,06e42e42-dbc8-4ccd-ac29-880d2ba1d05f,3
012f6b98-9fad-4022-bbf9-edb9c7138a0f,09155809-0b6e-4f9f-a75b-026aa4b35588,2
012f6b98-9fad-4022-bbf9-edb9c7138a0f,0ac5a30c-b25b-41cf-97ce-b3c1b3687202,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,0d036fcf-a456-4798-9b76-3f44eb74a451,8
012f6b98-9fad-4022-bbf9-edb9c7138a0f,0ea8e29d-3bfe-4982-8594-9350b527d553,110
012f6b98-9fad-4022-bbf9-edb9c7138a0f,10870c31-0253-4fa0-a2bc-1a6d3c553028,13
012f6b98-9fad-4022-bbf9-edb9c7138a0f,15959521-3e16-4fdb-be6b-36f0b0504e6d,7
012f6b98-9fad-4022-bbf9-edb9c7138a0f,1c16919b-5c3f-486c-9cc7-bdd00e29e9a4,17
012f6b98-9fad-4022-bbf9-edb9c7138a0f,1e4f3007-3e72-4135-80e0-238966189fd4,13
012f6b98-9fad-4022-bbf9-edb9c7138a0f,202e3325-7f81-4c5a-8aee-386a4bcd87e2,15
012f6b98-9fad-4022-bbf9-edb9c7138a0f,2690bccc-5463-459a-b1df-cb93e222b348,8
012f6b98-9fad-4022-bbf9-edb9c7138a0f,26f7a84e-45c7-4a94-94a2-f00a20c201aa,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,299782b9-b45f-4cd6-b1db-abee2be08d81,2
012f6b98-9fad-4022-bbf9-edb9c7138a0f,2b533923-83a2-4ac6-b497-934a549b50ab,4
012f6b98-9fad-4022-bbf9-edb9c7138a0f,2e1211a4-9506-4dbe-ab15-1b881bb87074,16
012f6b98-9fad-4022-bbf9-edb9c7138a0f,337a0873-453c-459f-99c7-2726975a71da,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,36ff4d40-ec26-4ba3-9370-3ec3b73c42ff,2
012f6b98-9fad-4022-bbf9-edb9c7138a0f,397c857a-fda0-414d-8fdc-8288cd3284aa,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,3983584c-76b6-4a70-9040-dadc84949e88,4
012f6b98-9fad-4022-bbf9-edb9c7138a0f,3c3a7304-0f4d-4b1f-a953-a6515b8b7670,8
012f6b98-9fad-4022-bbf9-edb9c7138a0f,44081df1-828e-4d79-bd27-261be38f66f1,2
012f6b98-9fad-4022-bbf9-edb9c7138a0f,446e3e45-8e03-4f8d-bb52-ea092634378f,4
012f6b98-9fad-4022-bbf9-edb9c7138a0f,49be3576-cea3-46c0-87eb-89beb108248d,11
012f6b98-9fad-4022-bbf9-edb9c7138a0f,4d6bf62d-9d27-49b5-b00f-254d6ff6e4e1,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,4eacd971-8961-4956-b73b-7de0745de280,2
012f6b98-9fad-4022-bbf9-edb9c7138a0f,58e27c9a-59be-407b-8213-714cf1d3acc4,18
012f6b98-9fad-4022-bbf9-edb9c7138a0f,5a2cb9b8-4a4c-4860-8793-59da092434b6,5
012f6b98-9fad-4022-bbf9-edb9c7138a0f,5d54939f-2da7-4ca6-b159-4ef344336b21,38
012f6b98-9fad-4022-bbf9-edb9c7138a0f,64522cbc-a297-4c67-a204-1e31deb91f68,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,68a869d7-3216-4208-9b57-e87405a11abb,1
012f6b98-9fad-4022-bbf9-edb9c7138a0f,6bfaf570-5b6f-41e1-baf2-b833f6203513,10
012f6b98-9fad-4022-bbf9-edb9c7138a0f,6d33b9bc-7d3a-4a60-b2d7-c2b70cd11ab1,2
012f6b98-9fad-4022-bbf9-edb9c7138a0f,71cbc21c-4e36-4df7-9f58-e15a1c1f162c,54
012f6b98-9fad-4022-bbf9-edb9c7138a0f,74c13ffe-54e0-4cfd-a5fd-f21de61a0995,7
012f6b98-9fad-4022-bbf9-edb9c7138a0f,75a44c3a-5914-4c8e-9ca4-d987853f5844,112
012f6b98-9fad-4022-bbf9-edb9c7138a0f,762e0f40-f100-4896-85a2-b1d8818fae41,27
012f6b98-9fad-4022-bbf9-edb9c7138a0f,77c541d2-49e3-483f-869d-134df420c5ea,4
012f6b98-9fad-4022-bbf9-edb9c7138a0f,7897cad0-5099-4630-9311-65cc01450063,8
